अ     a       
अंगा    angaa   
अंगार angaar  
अंगारा      angaara 
अंगारे      angaare 
अंगारों   angaron 
अंगाषाश्म     angashashm      
अंगिका      angika  
अंगिया      angiya  
अंगिरस      angiras 
अंगिरा      angira  
अंगीकरण   angeekaran      
अंगीकार   angeekaar       
अंगीकृत   angeekrat       
अंगीठी      angeethee       
अंगीभूत   angeebhoot      
अंगुठी      anguthee        
अंगुत्तर        anguttar        
अंगुल angul   
अंगुलबेढ़ा     angulbeda       
अंगुलाग्र     angulaagra      
अंगुलि      anguli  
अंगुलित्र     angulitra       
अंगुलिनिर्देश angulinirdesh   
अंगुलियाँ     anguliyaan      
अंगुलियों     anguliyon       
अंगुलिहीन     anguliheen      
अंगुलिहीनता       anguliheenta    
अंगुली      angulee 
अंगुश्त   angusht 
अंगुश्तनुमा       angushtnuma     
अंगुश्ताना  angushtaana     
अंगुष्ठ   angushth        
अंगूठा      angootha        
अंगूठियों     angoothiyon     
अंगूठी      angoothee       
अंगूठे      angoothe        
अंगूठों   angoothon       
अंगूर angoor  
अंगूरी      angooree        
अंगूरों   angooron        
अंगो    ango    
अंगों angon   
अंगोच्छेदन  angochedan      
अंगोछना   angochana       
अंगोछा      angocha 
अंगोरा      angora  
अंगोरा      angora  
अंगोला      angoola 
अंग्रजी   angrejee        
अंग्रजों        angrejon        
अंग्रेज   angrej  
अंग्रेजी        angrejee        
अंग्रेजी़     angrezee        
अंग्रेजो        angrejo 
अंग्रेजों     angrejon        
अंग्रेज़   angrez  
अंग्रेज़ियत  angreziyat      
अंग्रेज़ी        angrezee        
अंग्रेज़ो        angrezo 
अंगड़ाई      angadai 
अंचल    anchal  
अंचलों      anchalon        
अंजन    anjan   
अंजनहारी        anjanharee      
अंजना anjanaa 
अंजनी anjanee 
अंजलि anjali  
अंजली anjalee 
अंजान anjaan  
अंजाने      anjaane 
अंजाम anjaam  
अंजीर anjeer  
अंजुम anjum   
अंजुमन      anjuman 
अंजू    anjoo   
अंटा    anta    
अंटार्कटिक  antarktik       
अंटार्कटिका       antarktika      
अंटार्टिका  antartika       
अंटी    antee   
अंड       and     
अंडकोश      andkosh 
अंडकोष      andkosh 
अंडकोषीय        andkosheeya     
अंडखोल      andkhool        
अंडप    andap   
अंडमान      andmaan 
अंडमानी   andmaani        
अंडर    andar   
अंडरआर्म        andaraarm       
अंडरएक्स्पोज़    andarexpose     
अंडरग्राउंड       andarground     
अंडरटेकर        andartaker      
अंडरटेकिंग  andartaking     
अंडरपास   andarpass       
अंडरवर्ल्ड  andarvald       
अंडरवियर        andarvier       
अंडरवुड   undarvood       
अंडरस्कोर्स       andarskors      
अंडरस्टैंडिंग andarstanding   
अंडसमूह   andasamooh      
अंडा    andaa   
अंडाकार   andakaar        
अंडाणु      andanu  
अंडाशय      andashaya       
अंडे    anday   
अंडों andon   
अंडोरा      andora  
अंत       ant     
अंतः    antah   
अंतःकरण   antahkaran      
अंतःक्रिया  antahkriya      
अंतःक्षेत्र       antakshetra     
अंतःक्षेपण  antahkshepan    
अंतःपुर   antahpur        
अंतःविषय        antahvishaya    
अंतःशिरा        antahshira      
अंतःसंबंध     antahsambandh   
अंतःसम्पर्क       antahsampark    
अंतःसर्पी     antahsarpee     
अंतःसागरी     antahsagaree    
अंतःस्त्राव       antahstrav      
अंतःस्थल        antahsthal      
अंतःस्थलीय  antahsthaleeya  
अंतःस्राव     antahsrav       
अंतःस्रावी  antahsravi      
अंतक    antak   
अंतकाल      antakaal        
अंतत    antat   
अंततः antatah 
अंततोगत्वा  antatogatwa     
अंतनिर्हित  antnirhit       
अंतभाग      antbhaag        
अंतर    antar   
अंतरंग      antarang        
अंतरंगता        antarangataa    
अंतरंगी   antarangee      
अंतरगत      antaragat       
अंतरग्रहण     antargrahan     
अंतरजातीय     antarjateeya    
अंतरजाल   antarjaal       
अंतरण antaran 
अंतरतम      antartam        
अंतरतारकीय  antartarkeeya   
अंतरपणन   antarparan      
अंतरफलक   antarfalak      
अंतरबैंक        antarbank       
अंतरमहाद्वीपीय      antarmahaadvepeeya      
अंतरराज्यीय       antarrajyayeey  
अंतरराष्ट्रीय antarrashtreeya 
अंतरराष्ट्रीयकरण        antarrashtreeyakaran    
अंतरर्राष्ट्रीय   antarrashtreeya 
अंतरस्थ   antarasth       
अंतरा antara  
अंतरात्मा     antaratma       
अंतरापर्वतीय    antaraparvarteeya       
अंतरापृष्ठ  antaraprashth   
अंतराय      antaraya        
अंतराल      antaraal        
अंतरालरहित  antaraalrahit   
अंतरालों        antaraalon      
अंतराष्ट्रीय    antarashtreeya  
अंतरिक      antarik 
अंतरिक्ष        antariksha      
अंतरिक्षचारी    antarikshacharee        
अंतरिक्षयात्री      antarikshayatree        
अंतरिक्षयान       antarikshayaan  
अंतरिक्षविज्ञानशास्री antarikshavigyansashtree        
अंतरिक्षीय  antariksheeya   
अंतरित      antarit 
अंतरिम      antarim 
अंतरिमकाल     antarimkaal     
अंतरीप      antareep        
अंतरीय      antareeya       
अंतरों      antaron 
अंतर्कार्यालयीन   antarkaryalayeen        
अंतर्कालीन  antarkaleen     
अंतर्क्रिया       antarkriyaa     
अंतर्गत   antargat        
अंतर्ग्रस्त       antargrast      
अंतर्ग्रहण  antargrahan     
अंतर्ग्रहण्       antargrahan     
अंतर्ग्राहिक    antargraahit    
अंतर्जंघिका       antarjandhika   
अंतर्जनस्तर       antarjanstar    
अंतर्जात        antarjaat       
अंतर्जातीय  antarjaateeya   
अंतर्जाल        antarjaal       
अंतर्ज्ञान  antargyaan      
अंतर्ज्ञेयवाद antargeyavaad   
अंतर्तम   antartam        
अंतर्तारकीय       antartarkeeya   
अंतर्दर्शन  antardarshan    
अंतर्दहन        antardahan      
अंतर्दृष्टि       antardrishti    
अंतर्देशीय  antardesheeya   
अंतर्द्वंद  antardwand      
अंतर्धान        antardhaan      
अंतर्धारा     antardhaara     
अंतर्निहित  antarnirhit     
अंतर्मन   antarman        
अंतर्महाद्वीपीय   antarmahadvepeeya       
अंतर्मुखता  antarmukhata    
अंतर्मुखी     antarmukhee     
अंतर्यामी     antaryamee      
अंतर्राज्यीय    antarrajayeeya  
अंतर्राष्ट्रवादी        antarrashtravadee       
अंतर्राष्ट्रीकरण        antarrashtreekaran      
अंतर्राष्ट्रीय      antarrashtreeya 
अंतर्राष्ट्रीयकरण     antarrashtreeyakaran    
अंतर्राष्ट्रीयता        antarrashtreeyata       
अंतर्राष्ट्रीयतावाद       antarrashtreeyatavaad   
अंतर्राष्ट्रीयतावादी    antarrashtreeyatavaadee 
अंतर्रोधी     antarrodhee     
अंतर्वर्ती  antarvartee     
अंतर्वस्तु  antarvastu      
अंतर्वस्त्र       antarvastra     
अंतर्वाह        antarvaah       
अंतर्वाही     antarvahee      
अंतर्विभागीय    antarvibhageeya 
अंतर्विराम  antarviraam     
अंतर्विरोध  antarviroodh    
अंतर्विवाह  antarvivaah     
अंतर्विवाही       antarvivaahee   
अंतर्विषयक  antarvishayak   
अंतर्वेश        antarvesh       antarvaysh
अंतर्वेशन     antarveshan     
अंतर्संबंधों    antarsambandhon 
अंतश्छद   antashchad      
अंतहीन      antaheen        
अंतहीनता        antaheenta      
अंताल्या        antaalyaa       
अंतिम antim   
अंतिमबिंदु  antimbindu      
अंतिमांश        antimaansh      
अंतेवासी        antevaasi       antayvaasi
अंतोनियो        antoniyo        
अंत्य antya   
अंत्यलक   antaylak        
अंत्याधार     antyadhaar      
अंत्यानुप्रास antyanupraas    
अंत्यानुप्रासवाला     antyanupraasvalaa       
अंत्येष्टि  antyayeshti     
अंत्र antra   
अंत्रवृद्धि       antravradhi     
अंतड़ियां        antariyaan      
अंतड़ियों        antariyon       
अंतड़ी antaree 
अंदर    andar   
अंदरुनी   andaronee       
अंदरूनी   andaronee       
अंदाज andaaj  
अंदाजा      andajaa 
अंदाज़ andaz   
अंदाज़ा      andazaa 
अंदेशा      andeshaa        
अंधक    andhak  
अंधकार      andhakaar       
अंधकारपूर्ण       andhakaarpoorna 
अंधकारपूर्णता andhakaarpoornataa      
अंधकारभीति  andhkaarbheeti  
अंधकारमय        andhkaarmaya    
अंधक्षेत्र  andhashatra     
अंधड    andhad  
अंधता andhataa        
अंधभक्त   andhabhakta     
अंधभक्ति        andhabhakti     
अंधविश्वास  andhvishvaas    
अंधविश्वासी       andhavishvaasi  
अंधविश्वासों    andhavishvaason 
अंधश्रद्धा  andhashraddhaa  
अंधा    andhaa  
अंधाधुंध        andhadhundh     
अंधाधुध   andhadhudh      
अंधाधुन्ध     andhadhundh     
अंधानुकरण     andhanukaran    
अंधापन      andhapan        
अंधियारा        andhiyaraa      
अंधी    andhee  
अंधे    andhe   andhay
अंधेर andher  andhayr
अंधेरा      andheraa        andhayraa
अंधेरापन        andherapan      andhayrapan
अंधेरी      andheree        andhayree
अंधेरे      andhere andhayray
अंधों andhon  
अंधड़    andhad  
अंपायर      ampaayar        
अंपायरिंग     ampaayring      
अंबर    ambar   
अंबरीश      ambareesh       
अंबा    ambaa   
अंबानी      ambaanee        
अंबार ambaar  
अंबाला      ambalaa 
अंबिका      ambikaa 
अंबिकापुर     ambikapur       
अंबुज ambuj   
अंबुपति   ambupati        
अंबेडकर   ambedkar        
अंश       ansh    
अंशअ    ansha   
अंशकालिक        anshakaalik     
अंशकालीन        anshakaaleen    
अंशछादन   anshachaadan    
अंशजलीय   anshajaleeya    
अंशत    anshat  
अंशतः anshatah        
अंशदाता   anshadataa      
अंशदान      anshadaan       
अंशदायी   anshadayee      
अंशधारियों  anshadhaariyon  
अंशधारी   anshadhaaree    
अंशबोधक   anshabodhak     
अंशभागी   anshabhaagee    
अंशशोधन   anshashodhan    
अंशस्वामी     anshaswamee     
अंशांकन   anshaankan      
अंशांकित        anshaankit      
अंशातिप्रिय       anshaatipriya   
अंशिका      anshika 
अंशु    anshu   
अंशुक anshuk  
अंशुमन      anshuman        
अंशुमान   anshumaan       
अंशुमाली        anshumaalee     
अंशों anshon  
अंशोच्छेदन  anshocchedan    
अंसकूट      anskoot 
अंसपेशी   anspeshee       
अंसारी      ansaaree        
अंसीय anseeya 
अः  ahh     
अइसे    ayese   ayesay
अई  ayee    
अउर       aur     
अऋतुक्षरित  aritukshirit    
अऔरत    aaurat  
अकं       ank     
अकथ       akath   
अकथ्य akathay 
अकबकाना   akabakanaa      
अकबर    akabar  
अकबरपुर   akabarpur       
अकबरी akabaree        
अकरकरा      akarkaraa       
अकरण    akaran  
अकरणीय      akaraneeya      
अकरम    akaram  
अकराबाद   akarabaad       
अकर्म akarm   
अकर्मक      akarmak 
अकर्मण्य        akarmanya       
अकर्मण्यता  akarmanyataa    
अकर्मी      akarmee 
अकल       akal    
अकलंकता   akalankataa     
अकलंकित   akalankit       
अकलंकी      akalankee       
अकलबीर      akalbeer        
अकलमंदी   akalmandee      
अकलात्मक        akalaatmak      
अकल्प akalp   
अकल्पनाशील  akalpnaasheel   
अकल्पनीय        akalpneeya      
अकसर    aksar   
अकसीर akseer  
अकस्मात   akasmaat        
अकस्माती        akasmaatee      
अकस्मात्        akasmaata       
अकहा    akahaa  
अकाउंट      akaunt  
अकाउंटेंट     akauntant       
अकाज    akaaj   
अकाट्य      akaatya 
अकाट्यता        akaatyataa      
अकाट्यतापूर्वक      akaatyataapoorvak       
अकादमिक   akaadmik        
अकादमियाँ     akaadmiyaan     
अकादमियों     akaadmiyon      
अकादमी      akaadmee        
अकादेमी   akaademee       
अकाधिक      akaadhik        
अकाबा akabaa  
अकाम    akaam   
अकारण akaaran 
अकार्बनिक     akaarbnik       
अकाल    akaal   
अकालप्रौढ़     akaalpraud      
अकालियों        akaaliyon       
अकाली akaalee 
अकालों      akaalon 
अकिंचन      ankichan        
अकिंचनता        ankichanataa    
अकिण्वित        akinvit 
अकिता akitaa  
अकिलीज़      akileez 
अकी       akee    
अकीक    akeek   
अकीनी akenee  
अकीयाई      akeeyaayee      
अकुल    akul    
अकुला akulaa  
अकुलाना   akulanaa        
अकुलाहट   akulaahat       
अकुशल akushal 
अकुशलता   akushalataa     
अकुशलतापूर्वक akushalataapoorvak      
अकूत    akool   
अकृत    akrit   akrat
अकृषित      akrishit        
अकेडमी      akedmee 
अकेला akelaa  
अकेलापन   akelaapan       
अकेली akelee  
अकेले akele   akelay
अकेलेपन   akelepan        
अकेशिया   akeshiyaa       
अकैडमी      akeidamee       
अकॉर्डियन     akaardiyan      
अकोला akolaa  
अक्कादी   akkadee 
अक्खड़ akkhad  
अक्खड़पन   akkhadpan       
अक्टुबर   aktubar 
अक्टूबर   aktoobar        
अक्टूबरफ़ेस्ट    aktoobarfest    
अक्तुबर   aktubar 
अक्तूबर   aktoobar        
अक्रमतः   akramatah       
अक्राम्यता  akraamyataa     
अक्रिय      akriya  
अक्रियता        akriyataa       
अक्रियात्मक       akriyaatmak     
अक्रियावाद  akriyavaad      
अक्रियाशील  akriyasheel     
अक्रूर      akroor  
अक्ल    akla    
अक्लमंद   aklamand        
अक्लमंदी        aklamandee      
अक्लोम      aklom   
अक्वेरियम     akveriyam       
अक्ष    aksha   
अक्षत akshat  
अक्षतंतु        akshatantu      
अक्षम aksham  
अक्षमता   akshamata       
अक्षमताओं     akshamataaon    
अक्षमतापूर्वक akshamataapoorvak       
अक्षमित   akshamit        
अक्षम्य   akshamya        
अक्षय akshaya 
अक्षर akshar  
अक्षरग्राम  aksharagraam    
अक्षरधाम        aksharadhaam    
अक्षरयोजक     aksharyojak     
अक्षरश      aksharash       
अक्षरशः   aksharashah     
अक्षरशैली     aksharsheilee   
अक्षरात्मक  aksharaatmak    
अक्षरार्थ     aksharaarth     
अक्षरेखा        aksharekha      
अक्षरों   aksharon        
अक्षांक्ष     akshaanksh      
अक्षांश   akshaansh       
अक्षांशीय     akshaansheeya   
अक्षांशों     akshaanshon     
अक्षि akshi   
अक्षिति   akshiti 
अक्षिदंत        akshidant       
अक्षीय      aksheeya        
अक्षुण      akshun  
अक्षुण्ण        akshunn 
अक्षों      akshon  
अक्षोभ्य        akshobya        
अक्षौहिणी     akshouhinee     
अक्स    aks     
अक्सर aksar   
अक्साई      aksaee  
अक्सीर      akseer  
अकड़       akad    
अकड़न    akadan  
अकड़ना akadanaa        
अकड़नेवाला     akadanevalaa    
अकड़बाज़      akadbaaz        
अकड़ू    akadoo  
अकड़ैत akadeit 
अखंड    akhand  
अखंडता      akandata        
अखंडनीय   akhandaneeya    
अखंडल akhandal        
अखंडित      akhandit        
अखण्ड akhand  
अखण्डता   akhandataa      
अखण्डित्व     akhanditva      
अखती    akhatee 
अखबार akhabaar        
अखबारी      akhabaaree      
अखबारों   akhabaaron      
अखमीरी      akhmeree        
अखय       akhaya  
अखयतीज      akhayateej      
अखर       akhar   
अखरना akharanaa       
अखरा    akharaa 
अखरोट akhrot  
अखा       akhaa   
अखाडा akhadaa 
अखाद्य      akhadya 
अखाड़ा akhadaa 
अखाड़िया   akhadiyaa       
अखाड़े akhaade 
अखाड़ों      akhadon 
अखियाँ      akhiyaan        
अखियों      akhiyon 
अखिर    akhir   
अखिरी akhiree 
अखिल    akhil   
अखिलेन्द्र  akhilendra      
अखिलेश      akhilesh        
अखिलेश्वर     akhileshvar     
अख्तर akhtar  
अख्तियार        akhtiyaar       
अख्तियारपुर       akhtiyaarpur    
अग  ag      
अगंभीर      angbheer        
अगणित agadit  
अगत्ती      agattee 
अगन       agan    
अगम       agam    
अगम्य agamya  
अगर       agar    
अगरचे agarche 
अगरतला      agartalaa       
अगरबत्ती        agarbattee      
अगरिया      agariyaa        
अगरी    agaree  
अगल       agal    
अगला    agalaa  
अगली    agalee  
अगले    agale   
अगवा    agavaa  
अगवाई agvaee  
अगवान agavaan 
अगवानपुर        agavaanpur      
अगवानी      agavanee        
अगस्टे      agaste  
अगस्त agast   
अगस्त्य   agastya 
अगस्त्यमुनि       agastyamuni     
अगहन    agahan  
अगहनी agahanee        
अगा       agaa    
अगाध    agaad   
अगार    agaar   
अगासी agasee  
अगियाना   agiyanaa        
अगुआ    aguaa   
अगुआई aguaee  
अगुण    agun    
अगुवा aguvaa  
अगुवाई      aguvaee 
अगेंस्ट   agenst  against
अगेन    agen    again
अगोचर agochar 
अगोरा agoraa  
अग्नायी   agnayee 
अग्नाशय   agnaashaya      
अग्नाशयकोप  agnaashayakop   
अग्नाशयशोथ  agnaashayashoth 
अग्नि agni    
अग्निकांड     agnikand        
अग्निकाण्ड  agnikand        
अग्निकुण्ड  agnikund        
अग्निदाह        agnidaah        
अग्निदेव        agnidev 
अग्निदेवता  agnidevataa     
अग्निपथ   agnipath        
अग्निपरीक्षा    agnipareekshaa  
अग्निपुराण  agnipuraan      
अग्निपूजा     agnipooja       
अग्निबाण        agnibaan        
अग्निमित्र  agnimitra       
अग्निरोधक     agnirodhak      
अग्निवर्ण     agnivarn        
अग्निवेश        agnivesh        
अग्निशमन        agnishaman      
अग्निसह   agnisah 
अग्निसाक्षी       agnishakshee    
अग्निस्थान  agnisthaan      
अग्निहोत्र  agnihotra       
अग्निहोत्री       agnihotree      
अग्न्यस्त्र       agnyastra       
अग्न्याधान  agnyadhaan      
अग्न्याशय     agnyashaya      
अग्र    agra    
अग्रगण्य        agraganya       
अग्रगामी        agragamee       
अग्रग्रामी  agragramee      
अग्रचिंता     agrachintaa     
अग्रज agraj   
अग्रजा      agrajaa 
अग्रणी      agranee 
अग्रदल      agradal 
अग्रदाय   agradaaya       
अग्रदूत   agradoot        
अग्रदूती        agradotee       
अग्रदूतीय     agradoteeya     
अग्रदूतों     agradooton      
अग्रपाद   agrapaad        
अग्रपीयूषिकाग्रंथि  agrapeyoshikagranthi    
अग्रभाग   agrabhaag       
अग्रभूमि        agrabhoomi      
अग्रवानी        agravanee       
अग्रवाल   agrawaal        
अग्रवाही        agravahee       
अग्रसर      agrasar 
अग्रसरना        agrasaranaa     
अग्रसारित     agrasaarit      
अग्रसेन   agrasen 
अग्रहरि   agrahari        
अग्रहार   agrahaar        
अग्रांग   agraang 
अग्रानुक्रम       agraanukram     
अग्रि agri    
अग्रिम      agrim   
अग्रिमराशि  agrimrashi      
अग्रिमों        agrimon 
अग्रे agre    
अग्रेजी   agrejee 
अग्रेषण   agreshan        
अग्रेषित        agreshit        
अघन       aghan   
अघरिया      aghariyaa       
अघात    aghaat  
अघाना aghanaa 
अघावना      aghavnaa        
अघिक    adhik   
अघिकारी   adhikaree       
अघुलनशील        aghulansheel    
अघोर    aghor   
अघोरी aghoree 
अघोषित      aghoshit        
अचंभा achambhaa       
अचंभित      achambhit       
अचंभे achambhe        
अचकन    achakan 
अचक्रीय   achakkreeya     
अचतुर achatur 
अचम्भा      achambhaa       
अचम्भित   achambhit       
अचम्भे      achambhe        
अचयनित      achayanit       
अचर       achar   
अचरज    acharaj 
अचरितार्थ     acharitaarth    
अचल       achal   
अचलता achalataa       
अचला    achalaa 
अचलेश्वर        achaleshvar     
अचानक achaanak        
अचार    achaar  
अचिंतित   achintit        
अचिकित्स्य  achikitsya      
अचित्रणीय     achitraneeya    
अचित्रित        achitrit        
अचिह्नित        achihnit        
अचीवमेंट        acheevment      achievment
अचूक    achook  
अचेत    achet   
अचेतन achetan 
अचेतना      achetanaa       
अचेतावस्था  achetavasthaa   
अच्       ach     
अच्छ    acha    
अच्छत achat   
अच्छा achaa   
अच्छाइयों     achaaeyon       
अच्छाई      achaee  
अच्छापन   achaapan        
अच्छी achee   
अच्छेपन   achepan 
अच्युत      achayut 
अछिद्र      achidra 
अछिद्रित        achidrit        
अछूत    achoot  
अछूता achotaa 
अछूती achotee 
अछूते achote  
अछूतों      achoton 
अछेदित      achedit 
अछेद्य      achedaya        
अज  aj      
अजंता ajantaa 
अजगर    ajagar  
अजटिल ajatil  
अजनबियों        ajanabiyon      
अजनबी ajanabee        
अजनबीपन   ajanabeepan     
अजन्ता      ajantaa 
अजन्म ajanma  
अजन्मा      ajanmaa 
अजन्मे      ajanme  
अजमल    ajamal  
अजमाद ajamaad 
अजमेर ajmer   
अजमेरी      ajmeree 
अजमोद ajmod   
अजय       ajay    
अजयगढ़ ajaygarh        
अजयपाल      ajaypaal        
अजर       ajar    
अजरबैजान        ajarbeijaan     
अजवाइन      ajwaain         
अजवायन      ajwaayan        
अजस्र ajasra  
अजहरुद्दीन  ajahruddeen     
अजा       ajaa    
अजाक्स      ajaaksa 
अजात    ajaat   
अजातशत्रु     ajaatshatru     
अजाति ajaati  
अजान    ajaan   
अजानपन      ajaanpan        
अजाने ajaane  
अजामिल      ajaamil 
अजायबघर   ajaaybghar      
अजित    ajit    
अजिताभ      ajitaabh        
अजिन    ajin    
अजी       ajee    
अजीज    ajeej   
अजीजपुर   ajeejpur        
अजीत    ajeet   
अजीतगढ़      ajeetgarh       
अजीब    ajeeb   
अजीबपन      ajeebpan        
अजीबो ajeeboo 
अजीबोगरीब     ajeebogareeb    
अजीबोग़रीब     ajeebogareeb    
अजीम    ajeem   
अजीमाबाद        ajemabaad       
अजीरा ajeraa  
अजीर्ण      ajeern  
अजीर्णता        ajeerntaa       
अजीव    ajeev   
अजूबा ajobaa  
अजूबे ajobe   
अजूरा ajoraa  
अजेय    ajayay  
अजेयता      ajayayataa      
अजैव    ajeiv   
अजैविक      ajeivik 
अज्ञ    agya    
अज्ञात      agyaat  
अज्ञातजनभीति    agyaatajanbheeti        
अज्ञातवास     agyaatavaas     
अज्ञातव्यक्तिभीत        agyaatavyaktibheet      
अज्ञातहेतुक       agyaatahetuk    
अज्ञान      agyaan  
अज्ञानकृत     agyaanakrit     
अज्ञानता        agyanataa       
अज्ञानतापूर्वक      agyanatapoorvak 
अज्ञानतावश  agyanataavash   
अज्ञानपन        agyaanapan      
अज्ञानि   agyaani 
अज्ञानी   agyanee 
अज्ञेय      agyeya  
अज्ञेयता        agyeyataa       
अज्ञेयवाद     agyeyavaad      
अज्ञेयवादी  agyeyavadee     
अज्नानता        ajnaantaa       
अट  at      
अटंबर atambar 
अटकना atakanaa        
अटकल    atakal  
अटकलबाजी        atakalbaajee    
अटकलबाज़   atakalbaaz      
अटकलबाज़ी        atakalbaazee    
अटकलें      atakalen        
अटकलों      atkalon 
अटका    atakaa  
अटकाना      atakanaa        
अटके    atake   
अटन       atan    
अटना    atanaa  
अटपटा atapataa        
अटपटी atapatee        
अटरिया      atariyaa        
अटर्नी      atarnee 
अटल       atal    
अटलजी atalajee        
अटलबिहारी     atalabiharee    
अटलांटा   atalantaa       
अटलांटिक        atalantik       
अटलांटिकमहासागर   atalantikmahasaagar     
अटलांटिस        atalaantis      
अटवी    atavee  
अटाटूट      atatoot 
अटापट्टू        ataapatto       
अटारी ataree  
अटार्नी   atarnee 
अटाला atalaa  
अटूट    atoot   
अटेंडेंट        atendent        attendent
अटैक    ateik   attak
अटैची ateichee        
अटॉर्नी   atarnee 
अट्टहास   attahaas        
अट्टालिका     attalika        
अट्टी attee   
अट्ठकथा   atthkataa       
अट्ठाईस   atthaees        
अट्ठारह   atthaarah       
अट्ठारहवीं  atthaarahveen   
अठखेलियां     athkheliyaa     
अठन्नी      athannee        
अठरीय athreeya        
अठवाँसा   athwaansaa      
अठारह athaarah        
अठारहवां        atharahwaan     
अठारहवीं        atharahween     
अठारहवें        atharahven      
अठास्सी   athassee        
अठौड़ी athauree        
अडंगा adangaa 
अडक       adak    
अडाना adanaa  
अडिग    adig    
अडियल adiyal  
अडीग    adeeg   
अडूसा adosaa  
अडैप्टर   adeiptor        adaptor
अडोबी adobee  
अडोल    adol    
अड्डा addaa   
अड्डे adde    
अड्डों      addon   
अड्रेस      adres   address
अणिमा animaa  
अणु       anu     
अणुओं anuon   
अणुभार      anubhaar        
अणुव्रत   anuvrat 
अणुसूत्र        anusootra       
अण्टकोनीय     antkoneeya      
अण्टीगुआ        anteeguaa       
अण्ड    and     
अण्डज andaj   
अण्डपीत   andpeet 
अण्डमान   andmaan 
अण्डवक्र        andvakra        
अण्डा andaa   
अण्डाकार        andakaar        
अण्डाशय   andaashaya      
अण्डे ande    
अण्डों      andon   
अण्डोत्सर्ग       andotsarg       
अण्णा annaa   
अत  at      
अतंरराष्ट्रीय antarrashtreeya 
अतंर्राष्ट्रीय      antarrashtreeya 
अतः       atah    
अतएव    ataev   
अतत्पर      atatpar 
अतनु    atanu   
अतर       atar    
अतरिक्त   atarikta        
अतरौरा      atarauraa       
अतरौली      ataraulee       
अतर्कसंगत     atarksangat     
अतल       atal    
अतलस    atalas  
अतलांतिक        atalaantik      
अता       ataa    
अताईपुर   ataaipur        
अतातुर्क        ataaturk        
अतारांकित     ataarankit      
अतार्किक        ataarkik        
अति       ati     
अतिआवश्यक     atiaavashayak   
अतिकाल      atikaal 
अतिक्रम   atikram 
अतिक्रमण        atikraman       
अतिक्रमणकारी    atikramankaree  
अतिक्रमी        atikramee       
अतिक्रांत     atikraant       
अतिक्रामक     atikraamak      
अतिक्रामी     atikramee       
अतिघृणा   atigrinaa       
अतिचतुर   atichatur       
अतिचार      atichaar        
अतिचारी   aticharee       
अतिचालक   atichaalak      
अतिचालकता     atichalaktaa    
अतिथि atithi  
अतिथिगृह        atithigrih      
अतिथियों        atithiyon       
अतिथिशाला     atithishalaa    
अतिदुष्ट        atidusht        
अतिदेय      atideya 
अतिदेय      atideya 
अतिधार्मिक  atidhaarmik     
अतिधार्मिकता    atidharmikataa  
अतिनूतन   atinootan       
अतिनैष्ठिक  atineishthik    
अतिनैष्ठिकता    atineishthikataa        
अतिपरवलीय     atiparvaleeya   
अतिपराध्वनिक    atiparadhvanik  
अतिपरासारी  atiparasaree    
अतिप्रजन        atiprajan       
