अ     A
अंतःसंबंध     Antasambandha
अंतःसम्पर्क       Antasamparka
अंतःसर्पी     Antasarpi
अंतःसागरी     Antasagari
अंतःस्त्राव       Anatrab
अंतःस्थल        Antasthal
अंतःस्थलीय  Antasthaiya
अंतःस्राव     Antasrab
अंतःस्रावी  Antasrabi
अंतक    Antak
अंतकाल      Antakal
अंतत    Antat
अंततः Antat
अंततोगत्वा  Antatogatya
अंतनिर्हित  Antarnihit
अंतभाग      Antabhag
अंतर    Antar
अंतरंग      Antarang
अंतरंगता        Antagat
अंतरंगी   Antarangi
अंतरगत      Antargata
अंतरग्रहण     Antargrahan
अंतरजातीय     Antarjitaya
अंतरजाल   Antarjal
अंतरण Antaran
अंतरतम      Antartama
अंतरतारकीय  Antartarkiya
अंतरपणन   Antarpanan
अंतरफलक   Antafalak
अंतरबैंक        Antarbank
अंतरमहाद्वीपीय      Antarmahadbipiya
अंतरराज्यीय       Antarrajyiya
अंतरराष्ट्रीय Antarrashtriya
अंतरराष्ट्रीयकरण        Antarrashtriyakaran
अंतरर्राष्ट्रीय   Antarrashtriya
अंतरस्थ   Antarastha
अंतरा Antara
अंतरात्मा     Antaratma
अंतरापर्वतीय    Antaraparbatiya
अंतरापृष्ठ  Antarapristha
अंतराय      Antaray
अंतराल      Antaral
अंतरालरहित  Antaralhit
अंतरालों        Antaralon
अंतराष्ट्रीय    Antarashtriya
अंतरिक      Antarik
अंतरिक्ष        Antraiksha
अंतरिक्षचारी    Antarikshachari
अंतरिक्षयात्री      Antarikshayatri
अंतरिक्षयान       Antarikshayan
अंतरिक्षविज्ञानशास्री Antarikshabigyanshastri
अंतरिक्षीय  Antarikshiya
अंतरित      Antarit
अंतरिम      Antarim
अंतरिमकाल     Antarimkal
अंतरीप      Antarip
अंतरीय      Antariya
अंतरों      Antaro
अंतर्कार्यालयीन   Antarkaryalayin
अंतर्कालीन  Antarkalin
अंतर्क्रिया       Antarkriya
अंतर्गत   Antargat
अंतर्ग्रस्त       Antargrast
अंतर्ग्रहण  Antargrahan
अंतर्ग्रहण्       Antargrahan
अंतर्ग्राहिक    Antargrahik
अंतर्जंघिका       Antarjanghika
अंतर्जनस्तर       Antarjanstar
अंतर्जात        Antarjat
अंतर्जातीय  Antarjitya
अंतर्जाल        Antarjal
अंतर्ज्ञान  Antargyan
अंतर्ज्ञेयवाद Antargeyabad
अंतर्तम   Antartama
अंतर्तारकीय       Antartarkiya
अंतर्दर्शन  Antardarshan
अंतर्दहन        Antardahan
अंतर्दृष्टि       Antardrishti
अंतर्देशीय  Antardeshiya
अंतर्द्वंद  Antardwand
अंतर्धान        Antardhan
अंतर्धारा     Antardhara
अंतर्निहित  Antarnihit
अंतर्मन   Antarman
अंतर्महाद्वीपीय   Antarmahadbipiya
अंतर्मुखता  Antrarmukhta
अंतर्मुखी     Antarmukhi
अंतर्यामी     Antaryami
अंतर्राज्यीय    Antarrajyiya
अंतर्राष्ट्रवादी        Antarrashtiyawadi
अंतर्राष्ट्रीकरण        Antarrashtriyakaran
अंतर्राष्ट्रीय      Antarrashtriya
अंतर्राष्ट्रीयकरण     Antarrashtriyakaran
अंतर्राष्ट्रीयता        Antarrashtriyata
अंतर्राष्ट्रीयतावाद       Antarashtriyabad
अंतर्राष्ट्रीयतावादी    Antarashtriyabadi
अंतर्रोधी     Antarodhi
अंतर्वर्ती  Antarawarti
अंतर्वस्तु  Antarabastu
अंतर्वस्त्र       Antarbashtra
अंतर्वाह        Antarwaha
अंतर्वाही     Antarwahi
अंतर्विभागीय    Antarbibhagiya
अंतर्विराम  Antarbiram
अंतर्विरोध  Antarbirodh
अंतर्विवाह  Antarbibaha
अंतर्विवाही       Antarbibahi
अंतर्विषयक  Antarbishayak
अंतर्वेश        Antarbesh
अंतर्वेशन     Antarbeshan
अंतर्संबंधों    Antarsambandho
अंतश्छद   Antarschad
अंतहीन      Antahin
अंतहीनता        Antahinta
अंताल्या        Antalya
अंतिम Antim
अंतिमबिंदु  Antimbindu
अंतिमांश        Antimansh
अंतेवासी        Antebashi
अंतोनियो        Antoniyo
अंत्य Anta
अंत्यलक   Antalak
अंत्याधार     Antadhar
अंत्यानुप्रास Antanupras
अंत्यानुप्रासवाला     Antyanupraswala
अंत्येष्टि  Antesthi
अंत्र Antra
अंत्रवृद्धि       Antabuddhi
अंतड़ियां        Antdiya
अंतड़ियों        Antdiyon
अंतड़ी Antdi
अंदर    Andar
अंदरुनी   Andurni
अंदरूनी   Andurni
अंदाज Andaz
अंदाजा      Andaza
अंदाज़ Andaj
अंदाज़ा      Andaza
अंदेशा      Andesha
अंधक    Andhak
अंधकार      Andhkar
अंधकारपूर्ण       Andhkarpurna
अंधकारपूर्णता Andhkarpurnata
अंधकारभीति  Andhakarbhiti
अंधकारमय        Andhkarmay
अंधक्षेत्र  Andhkshetra
अंधड    Andhad
अंधता Andhata
अंधभक्त   Andhabhakta
अंधभक्ति        Andhabhakti
अंधविश्वास  Andhabiswas
अंधविश्वासी       Andhabiswasi
अंधविश्वासों    Andhbiswaso
अंधश्रद्धा  Andhsraddho
अंधा    Andha
अंधाधुंध        Andhadundha
अंधाधुध   Andhadundha
अंधाधुन्ध     Andhadundha
अंधानुकरण     Andhanukaran
अंधापन      Andhapan
अंधियारा        Andhiyara
अंधी    Andhi
अंधे    Andhe
अंधेर Andher
अंधेरा      Andhera
अंधेरापन        Andherapan
अंधेरी      Andheri
अंधेरे      Andhere
अंधों Andho
अंधड़    Andhad
अंपायर      Umpire
अंपायरिंग     Umpiring
अंबर    Amber
अंबरीश      Amberish
अंबा    Amba
अंबानी      Ambani
अंबार Amber
अंबाला      Ambala
अंबिका      Ambika
अंबिकापुर     Ambikapur
अंबुज Ambuj
अंबुपति   Ambupati
अंबेडकर   Ambedkar
अंश       Ansh
अंशअ    Anshaa
अंशकालिक        Anshakalik
अंशकालीन        Anshkalik
अंशछादन   Anshachadan
अंशजलीय   Anshjaliya
अंशत    Anshat
अंशतः Anshant
अंशदाता   Anshdata
अंशदान      Anshdan
अंशदायी   Anshdayi
अंशधारियों  Anshdhariyo
अंशधारी   Anshdhari
अंशबोधक   Anshbodhak
अंशभागी   Anshbhagi
अंशशोधन   Anshsodhon
अंशस्वामी     Anshaswami
अंशांकन   Anshankan
अंशांकित        Anshankit
अंशातिप्रिय       Ashantipriya
अंशिका      Anshika
अंशु    Anshu
अंशुक Anshuk
अंशुमन      Anshuman
अंशुमान   Anshuman
अंशुमाली        Anshumali
अंशों Ansho
अंशोच्छेदन  Anshochedan
अंसकूट      Anshkut
अंसपेशी   Anshpeshi
अंसारी      Ansari
अंसीय Ansiya
अः  A
अइसे    Aiyse
अई  Ai
अउर       Aur
अऋतुक्षरित  Anturksharit
अऔरत    Aurat
अकं       Ank
अकथ       Akat
अकथ्य Akathya
अकबकाना   Akbakana
अकबर    Akbar
अकबरपुर   Akbarpur
अकबरी Akbari
अकरकरा      Akrakri
अकरण    Akran
अकरणीय      Akaniya
अकरम    Akaram
अकराबाद   Akrawad
अकर्म Akarma
अकर्मक      Akarmak
अकर्मण्य        Akarmanya
अकर्मण्यता  Akarmanyata
अकर्मी      Akarmi
अकल       Akal
अकलंकता   Akalankata
अकलंकित   Akalankit
अकलंकी      Akalankit
अकलबीर      Akalbir
अकलमंदी   Akalmandi
अकलात्मक        Akalatmak
अकल्प Akalp
अकल्पनाशील  Akalpanashil
अकल्पनीय        Akalpaniya
अकसर    Aksar
अकसीर Aksir
अकस्मात   Akasmat
अकस्माती        Akasmati
अकस्मात्        Akasmat
अकहा    Akha
अकाउंट      Account
अकाउंटेंट     Accounant
अकाज    Akaj
अकाट्य      Akataya
अकाट्यता        Akatayata
अकाट्यतापूर्वक      Akatyatapurbak
अकादमिक   Academic
अकादमियाँ     Academia
अकादमियों     Academia
अकादमी      Academy
अकादेमी   Academy
अकाधिक      Ekadhik
अकाबा Ekaba
अकाम    Ekam
अकारण Akaran
अकार्बनिक     Akarbanik
अकाल    Akal
अकालप्रौढ़     Akalpraudha
अकालियों        Akaliyo
अकाली Akali
अकालों      Akalo
अकिंचन      Akinchan
अकिंचनता        Akinchanta
अकिण्वित        Akinnit
अकिता Akita
अकिलीज़      Akilij
अकी       Aki
अकीक    Akik
अकीनी Akini
अकीयाई      Akiyai
अकुल    Akul
अकुला Akula
अकुलाना   Akulana
अकुलाहट   Akulayit
अकुशल Akushal
अकुशलता   Akushalata
अकुशलतापूर्वक Akushalatpurbak
अकूत    Akut
अकृत    Akut
अकृषित      Akushik
अकेडमी      Academy
अकेला Akela
अकेलापन   Akelapan
अकेली Akeli
अकेले Akele
अकेलेपन   Akelpan
अकेशिया   Akeshiya
अकैडमी      Academy
अकॉर्डियन     Acardiyan
अकोला Akola
अक्कादी   Accadi
अक्खड़ Akhhad
अक्खड़पन   Akhadpan
अक्टुबर   October
अक्टूबर   October
अक्टूबरफ़ेस्ट    Octoberfest
अक्तुबर   October
अक्तूबर   October
अक्रमतः   Akramat
अक्राम्यता  Akramyat
अक्रिय      Akriya
अक्रियता        Akriyata
अक्रियात्मक       Akriyatatmak
अक्रियावाद  Akriyabad
अक्रियाशील  Akriyashil
अक्रूर      Akrur
अक्ल    Akal
अक्लमंद   Akalmand
अक्लमंदी        Akalmandi
अक्लोम      Akolyam
अक्वेरियम     Aquarium
अक्ष    Aksha
अक्षत Akshat
अक्षतंतु        Akshatantu
अक्षम Aksham
अक्षमता   Akshamta
अक्षमताओं     Akshamtao
अक्षमतापूर्वक Akshamtapurbak
अक्षमित   Akashmit
अक्षम्य   Akshamya
अक्षय Akshaya
अक्षर Akshar
अक्षरग्राम  Akshargram
अक्षरधाम        Akshardham
अक्षरयोजक     Aksharyojak
अक्षरश      Aksarosh
अक्षरशः   Aksarosh
अक्षरशैली     Aksarsaili
अक्षरात्मक  Aksaratamak
अक्षरार्थ     Aksarartha
अक्षरेखा        Aksarekha
अक्षरों   Aksharo
अक्षांक्ष     Aksaksha
अक्षांश   Akshansh
अक्षांशीय     Akshashiya
अक्षांशों     Aksansho
अक्षि Akshi
अक्षिति   Akshiti
अक्षिदंत        Akshidant
अक्षीय      Akshiya
अक्षुण      Akshuna
अक्षुण्ण        Aksunna
अक्षों      Akso
अक्षोभ्य        Aksobhagya
अक्षौहिणी     Aksohini
अक्स    Aks
अक्सर Aksar
अक्साई      Aksai
अक्सीर      Aksir
अकड़       Akad
अकड़न    Akadan
अकड़ना Akadna
अकड़नेवाला     Akadnewala
अकड़बाज़      Akadbaj
अकड़ू    Akad
अकड़ैत Akadat
अखंड    Akhand
अखंडता      Akhandata
अखंडनीय   Akhandaniya
अखंडल Akhandal
अखंडित      Akhandit
अखण्ड Akhanda
अखण्डता   Akhandata
अखण्डित्व     Akhanditta
अखती    Akhati
अखबार Akhabr
अखबारी      Akhbari
अखबारों   Akhbaro
अखमीरी      Akhmiri
अखय       Akhaya
अखयतीज      Akhaytij
अखर       Akhar
अखरना Akharna
अखरा    Akhra
अखरोट Akhrot
अखा       Akha
अखाडा Akhada
अखाद्य      Akhadya
अखाड़ा Akhada
अखाड़िया   Akhadiya
अखाड़े Akhade
अखाड़ों      Akhado
अखियाँ      Ankhiya
अखियों      Ankhiyo
अखिर    Aankhir
अखिरी Akhiri
अखिल    Akhil
अखिलेन्द्र  Akhilendra
अखिलेश      Akhilesh
अखिलेश्वर     Akhileswar
अख्तर Akhtar
अख्तियार        Akhityar
अख्तियारपुर       Akhityarpur
अग  Ag
अगंभीर      Agambhir
अगणित Aganit
अगत्ती      Agatti
अगन       Agan
अगम       Agam
अगम्य Agamya
अगर       Agar
अगरचे Agarche
अगरतला      Agartala
अगरबत्ती        Agarbatti
अगरिया      Agriya
अगरी    Agri
अगल       Agal
अगला    Agla
अगली    Agli
अगले    Agle
अगवा    Agwa
अगवाई Agwai
अगवान Agwan
अगवानपुर        Agwanpur
अगवानी      Agwani
अगस्टे      Auguste
अगस्त August
अगस्त्य   Agastya
अगस्त्यमुनि       Agstyamuni
अगहन    Agahan
अगहनी Agahani
अगा       Aga
अगाध    Agadh
अगार    Agar
अगासी Agasi
अगियाना   Agiyana
अगुआ    Agua
अगुआई Aguai
अगुण    Agun
अगुवा Aguwa
अगुवाई      Aguwai
अगेंस्ट   Angest
अगेन    Agen
अगोचर Agochar
अगोरा Agora
अग्नायी   Agnayi
अग्नाशय   Aganshay
अग्नाशयकोप  Agnshaykop
अग्नाशयशोथ  Agnashayshoth
अग्नि Agni
अग्निकांड     Agnikand
अग्निकाण्ड  Agnikand
अग्निकुण्ड  Agnikand
अग्निदाह        Agnidaha
अग्निदेव        Agnidev
अग्निदेवता  Agnidevta
अग्निपथ   Agnipath
अग्निपरीक्षा    Agnipariksha
अग्निपुराण  Agnipuran
अग्निपूजा     Agnipuja
अग्निबाण        Agniban
अग्निमित्र  Agnimitra
अग्निरोधक     Agnirodhak
अग्निवर्ण     Agnivarna
अग्निवेश        Agnivesh
अग्निशमन        Agnishaman
अग्निसह   Agnisaha
अग्निसाक्षी       Agnisakshi
अग्निस्थान  Agnisthan
अग्निहोत्र  Agnihotra
अग्निहोत्री       Agnihotri
अग्न्यस्त्र       Agneyastra
अग्न्याधान  Agnyadhan
अग्न्याशय     Agnashaya
अग्र    Agra
अग्रगण्य        Agrranya
अग्रगामी        Agragami
अग्रग्रामी  Agragami
अग्रचिंता     Agrachinta
अग्रज Agraja
अग्रजा      Agraja
अग्रणी      Agrani
अग्रदल      Agradal
अग्रदाय   Agraday
अग्रदूत   Agradut
अग्रदूती        Agrduti
अग्रदूतीय     Agradutiya
अग्रदूतों     Agraduto
अग्रपाद   Agrapad
अग्रपीयूषिकाग्रंथि  Agrapiyushikagranthi
अग्रभाग   Agrabhag
अग्रभूमि        Agrabhumi
अग्रवानी        Agrabani
अग्रवाल   Agrawal
अग्रवाही        Agrawahi
अग्रसर      Agrasar
अग्रसरना        Agrasarna
अग्रसारित     Agrasarit
अग्रसेन   Agrasen
अग्रहरि   Agrahari
अग्रहार   Agrahar
अग्रांग   Agranga
अग्रानुक्रम       Agranukram
अग्रि Agri
अग्रिम      Agrim
अग्रिमराशि  Agrimrashi
अग्रिमों        Agrimo
अग्रे Agre
अग्रेजी   Agreji
अग्रेषण   Agreshan
अग्रेषित        Agreshit
अघन       Aghan
अघरिया      Aghariya
अघात    Aghat
अघाना Aghana
अघावना      Aghawana
अघिक    Adhik
अघिकारी   Adhikari
अघुलनशील        Aghulanshil
अघोर    Aghor
अघोरी Aghori
अघोषित      Aghoshit
अचंभा Achambha
अचंभित      Achambhit
अचंभे Achambhe
अचकन    Achkan
अचक्रीय   Achakriya
अचतुर Achatur
अचम्भा      Achambha
अचम्भित   Achambhit
अचम्भे      Achambhe
अचयनित      Achayanit
अचर       Achar
अचरज    Acharaj
अचरितार्थ     Achartirtha
अचल       Achal
अचलता Achalta
अचला    Achala
अचलेश्वर        Achaleswar
अचानक Achanak
अचार    Achar
अचिंतित   Achintit
अचिकित्स्य  Achikitsya
अचित्रणीय     Achitraniya
अचित्रित        Achitrit
अचिह्नित        Achinnit
अचीवमेंट        Achievement
अचूक    Achuk
अचेत    Achet
अचेतन Achetan
अचेतना      Achentna
अचेतावस्था  Achetabastha
अच्       Ach
अच्छ    Achh
अच्छत Achhat
अच्छा Achhat
अच्छाइयों     Achhaia
अच्छाई      Achhai
अच्छापन   Achhapan
अच्छी Achhi
अच्छेपन   Achhepan
अच्युत      Achyut
अछिद्र      Achidra
अछिद्रित        Achidrit
अछूत    Achhut
अछूता Achuta
अछूती Achuti
अछूते Achute
अछूतों      Achuton
अछेदित      Acchedin
अछेद्य      Achegh
अज  Aj
अजंता Ajanta
अजगर    Ajagar
अजटिल Ajatil
अजनबियों        Ajnabiyo
अजनबी Ajnabi
अजनबीपन   Ajnabipan
अजन्ता      Ajanata
अजन्म Ajanma
अजन्मा      Ajanmaa
अजन्मे      Ajamein
अजमल    Ajmal
अजमाद Ajmad
अजमेर Ajmer
अजमेरी      Ajmeri
अजमोद Ajmod
अजय       Ajay
अजयगढ़ Ajaygad
अजयपाल      Ajaypal
अजर       Ajar
अजरबैजान        Ajerbaijan
अजवाइन      Ajwain
अजवायन      Ajwayan
अजस्र Ajasra
अजहरुद्दीन  Ajaharuddin
अजा       Aja
अजाक्स      Ajax
अजात    Ajat
अजातशत्रु     Ajatshatru
अजाति Ajati
अजान    Ajan
अजानपन      Ajanpan
अजाने Ajanein
अजामिल      Ajamil
अजायबघर   Ajayabghar
अजित    Ajit
अजिताभ      Ajitabh
अजिन    Ajin
अजी       Aji
अजीज    Agij
अजीजपुर   Ajijpur
अजीत    Ajit
अजीतगढ़      Ajitgarh
अजीब    Ajib
अजीबपन      Ajibpan
अजीबो Ajibo
अजीबोगरीब     Ajibogarib
अजीबोग़रीब     Ajibogarib
अजीम    Ajim
अजीमाबाद        Ajimabad
अजीरा Ajira
अजीर्ण      Ajirna
अजीर्णता        Ajirnata
अजीव    Ajeeb
अजूबा Ajuba
अजूबे Ajubein
अजूरा Ajura
अजेय    Ajeya
अजेयता      Ajeyata
अजैव    Ajaiba
अजैविक      Ajaibik
अज्ञ    Agya
अज्ञात      Agyat
अज्ञातजनभीति    Agyatajanbhiti
अज्ञातवास     Agyatbas
अज्ञातव्यक्तिभीत        Agyatbyaktibhit
अज्ञातहेतुक       Agyathetuk
अज्ञान      Agyan
अज्ञानकृत     Agyankrit
अज्ञानता        Agyanta
अज्ञानतापूर्वक      Agyantapurbak
अज्ञानतावश  Agyantabash
अज्ञानपन        Agyanpan
अज्ञानि   Agyani
अज्ञानी   Agyani
अज्ञेय      Agyeya
अज्ञेयता        Agyeyata
अज्ञेयवाद     Agyebad
अज्ञेयवादी  Agyeyabadi
अज्नानता        Agyanta
अट  At
अटंबर Atambar
अटकना Atkana
अटकल    Atkal
अटकलबाजी        Atkalwaji
अटकलबाज़   Atkalwaj
अटकलबाज़ी        Atkalwaji
अटकलें      Atkalein
अटकलों      Atkalon
अटका    Atka
अटकाना      Atkana
अटके    Atkein
अटन       Atan
अटना    Atna
अटपटा Atpata
अटपटी Atpati
अटरिया      Atriya
अटर्नी      Attorney
अटल       Atal
अटलजी Atalji
अटलबिहारी     AtalBihari
अटलांटा   Atlanta
अटलांटिक        Atlantic
अटलांटिकमहासागर   Atlantic Mahasagar
अटलांटिस        Atalantis
अटवी    Atwi
अटाटूट      Atatut
अटापट्टू        Attapattu
अटारी Attari
अटार्नी   Attorney
अटाला Atalla
अटूट    Attut
अटेंडेंट        Attendant
अटैक    Attack
अटैची Attache
अटॉर्नी   Attorney
अट्टहास   Attahas
अट्टालिका     Attalika
अट्टी Atti
अट्ठकथा   Attakatha
अट्ठाईस   Attais
अट्ठारह   Attaraha
अट्ठारहवीं  Attrahawi
अठखेलियां     Athkheliyan
अठन्नी      Atthanni
अठरीय Athriyo
अठवाँसा   Athwasa
अठारह Atharaha
अठारहवां        Atharawa
अठारहवीं        atharahbi
अठारहवें        Atharahebein
अठास्सी   Atharassi
अठौड़ी Athodi
अडंगा Adanga
अडक       Adak
अडाना Adana
अडिग    Adig
अडियल Adiyal
अडीग    Adig
अडूसा Adusa
अडैप्टर   Adapter
अडोबी Adobi
अडोल    Adol
अड्डा Adda
अड्डे Addein
अड्डों      Addo
अड्रेस      Address
अणिमा Anima
अणु       Anu
अणुओं Anuyon
अणुभार      Anubhar
अणुव्रत   Anurat
अणुसूत्र        Anusutra
अण्टकोनीय     Antakoniyon
अण्टीगुआ        Antiguya
अण्ड    Anda
अण्डज Andaj
अण्डपीत   Andapit
अण्डमान   Andaman
अण्डवक्र        Andabakra
अण्डा Anda
अण्डाकार        Andakar
अण्डाशय   Andashay
अण्डे Ande
अण्डों      Ando
अण्डोत्सर्ग       Andotsarga
अण्णा Anna
अत  At
अतंरराष्ट्रीय Antar-rashtriya
अतंर्राष्ट्रीय      Antarashtriya
अतः       Atah
अतएव    Ataeb
अतत्पर      Atatpar
अतनु    Atanu
अतर       Atar
अतरिक्त   Atirikt
अतरौरा      Ataroura
अतरौली      Atarouli
अतर्कसंगत     Atarkasangat
अतल       Atal
अतलस    Atlas
अतलांतिक        Atlantic
अता       Ata
अताईपुर   Ataipur
अतातुर्क        Attaturk
अतारांकित     Atarankit
अतार्किक        Atakirk
अति       Ati
अतिआवश्यक     Atiabashyak
अतिकाल      Atikal
अतिक्रम   Atikram
अतिक्रमण        Atikraman
अतिक्रमणकारी    Atikramankari
अतिक्रमी        Atikrami
अतिक्रांत     Atikrant
अतिक्रामक     Atikramak
अतिक्रामी     Atikrami
अतिघृणा   Atighrina
अतिचतुर   Atichatur
अतिचार      Atichar
अतिचारी   Atichari
अतिचालक   Atichalak
अतिचालकता     Atichalakta
अतिथि Atithi
अतिथिगृह        Atithigriha
अतिथियों        Atitihiyon
अतिथिशाला     Atithishala
अतिदुष्ट        Atiduston
अतिदेय      Atideyon
अतिदेय      Atideyon
अतिधार्मिक  Atidharmik
अतिधार्मिकता    Atidharmikta
अतिनूतन   Atinutan
अतिनैष्ठिक  Atinaishtik
अतिनैष्ठिकता    Atinaishtikta
अतिपरवलीय     Atiparwaliyon
अतिपराध्वनिक    Atiparadhhanik
अतिपरासारी  Atiparasari
अतिप्रजन        Atiprajan
अतिप्रतापी  Atipratapi
अतिप्रवाह     Atiprabaha
अतिप्रवीण     Atiprabin
अतिप्रशंसा  Atiprasansa
अतिप्रसन्न  Atiprasanna
अतिप्राकलन  Atiprakalan
अतिप्राकृत  Atiprakrit
अतिप्राकृतिक    Atiprakritik
अतिप्राकृतिकता      Atiprakritikta
अतिप्रिय        Atipriya
अतिबल Atibal
अतिबुकिंग     Atibooking
अतिभार      Atibhar
अतिमानव   Atimanab
अतिमानवीय     Atimanabiya
अतियथार्थवाद    Atiyatharthabad
अतियथार्थवादी Atiyatharthabadi
अतिरंजन   Atiranjan
अतिरंजना        Atiranjana
अतिरंजनापूर्ण Atiranjanapurna
अतिरंजित        Atiranjit
अतिरंज्नापूर्ण      Atiranjanapurna
अतिरिक्त        Atirikt
अतिरिक्तता  Atiriktata
अतिरूढ़िवादी       Atirudhibadi
अतिरेक      Atirek
अतिरेकना        Atirekna
अतिलंघन   Atilanghan
अतिलोभी   Atilobhi
अतिलोलुप        Atilolup
अतिवातायनता       Atiwatayanta
अतिवाद      Atiwad
अतिवादी   Atiwadi
अतिविशाल        Atibishal
अतिविश्वास  Atibishwas
अतिविश्वासी       Atibishwasi
अतिवृद्धि     Atibuddhi
अतिवृष्टि     Atibrishti
अतिव्यय   Atibyay
अतिव्ययी        Atibyayi
अतिव्याकुलता    Atibyakulta
अतिव्याप्त  Atibyapt
