अ     a
अंटार्कटिक  antaarkatik
अंटार्कटिका       antaarkatika
अंटार्टिका  antaartika
अंटी    antee
अंड       and
अंडकोश      andakosh
अंडकोष      andakosh
अंडकोषीय        andakosheey
अंडखोल      andakhol
अंडप    andap
अंडमान      andamaan
अंडमानी   andamaanee
अंडर    andar
अंडरआर्म        andaraarm
अंडरएक्स्पोज़    andarekspoz
अंडरग्राउंड       andaragraund
अंडरटेकर        andaratekar
अंडरटेकिंग  andarateking
अंडरपास   andarapaas
अंडरवर्ल्ड  andaravarld
अंडरवियर        andaraviyar
अंडरवुड   andaravud
अंडरस्कोर्स       andaraskors
अंडरस्टैंडिंग andarastainding
अंडसमूह   andsamooh
अंडा    anda
अंडाकार   andaakaar
अंडाणु      andaanu
अंडाशय      andaashay
अंडे    ande
अंडों andon
अंडोरा      andora
अंत       ant
अंतः    antah
अंतःकरण   antahkaran
अंतःक्रिया  antahkriya
अंतःक्षेत्र       antahkshetr
अंतःक्षेपण  antahkshepan
अंतःपुर   antahpur
अंतःविषय        antahvishay
अंतःशिरा        antahshira
अंतःसंबंध     antahsambandh
अंतःसम्पर्क       antahsampark
अंतःसर्पी     antahsarpee
अंतःसागरी     antahsaagaree
अंतःस्त्राव       antahstraav
अंतःस्थल        antahsthal
अंतःस्थलीय  antahsthaleey
अंतःस्राव     antahsraav
अंतःस्रावी  antahsraavee
अंतक    antak
अंतकाल      antakaal
अंतत    antat
अंततः antatah
अंततोगत्वा  antatogatva
अंतनिर्हित  antanirhit
अंतभाग      antabhag
अंतर    antar
अंतरंग      antarang
अंतरंगता        antarangata
अंतरंगी   antarangee
अंतरगत      antaragat
अंतरग्रहण     antaragrahan
अंतरजातीय     antarajaateey
अंतरजाल   antarajaal
अंतरण antaran
अंतरतम      antaratam
अंतरतारकीय  antarataarakeey
अंतरपणन   antarapanan
अंतरफलक   antaraphalak
अंतरबैंक        antarabaink
अंतरमहाद्वीपीय      antaramahaadveepeey
अंतरराज्यीय       antararaajyeey
अंतरराष्ट्रीय antararaashtreey
अंतरराष्ट्रीयकरण        antararaashtreeyakaran
अंतरर्राष्ट्रीय   antararraashtreey
अंतरस्थ   antarasth
अंतरा antaraa
अंतरात्मा     antaraatma
अंतरापर्वतीय    antaraaparvateey
अंतरापृष्ठ  antaraaprshth
अंतराय      antaraay
अंतराल      antaraal
अंतरालरहित  antaraalrahit
अंतरालों        antaraalon
अंतराष्ट्रीय    antaraashtreey
अंतरिक      antarik
अंतरिक्ष        antariksh
अंतरिक्षचारी    antarikshachaaree
अंतरिक्षयात्री      antarikshayaatree
अंतरिक्षयान       antarikshayaan
अंतरिक्षविज्ञानशास्री antarikshavigyaanashaasree
अंतरिक्षीय  antariksheey
अंतरित      antarit
अंतरिम      antarim
अंतरिमकाल     antarimkaal
अंतरीप      antareep
अंतरीय      antareey
अंतरों      antaron
अंतर्कार्यालयीन   antarkaryaalayeen
अंतर्कालीन  antarkaaleen
अंतर्क्रिया       antarkriya
अंतर्गत   antargat
अंतर्ग्रस्त       antargrast
अंतर्ग्रहण  antargrahan
अंतर्ग्रहण्       antargrahan
अंतर्ग्राहिक    antargraahik
अंतर्जंघिका       antarjaghika
अंतर्जनस्तर       antarjanastar
अंतर्जात        antarjaat
अंतर्जातीय  antarjaateey
अंतर्जाल        antarjaal
अंतर्ज्ञान  antargyaan
अंतर्ज्ञेयवाद antargyeyavaad
अंतर्तम   antartam
अंतर्तारकीय       antartaarakeey
अंतर्दर्शन  antardarshan
अंतर्दहन        antardahan
अंतर्दृष्टि       antardrshti
अंतर्देशीय  antardesheey
अंतर्द्वंद  antardvand
अंतर्धान        antardhaan
अंतर्धारा     antardhaara
अंतर्निहित  antarnihit
अंतर्मन   antarman
अंतर्महाद्वीपीय   antarmahaadveepeey
अंतर्मुखता  antarmukhata
अंतर्मुखी     antarmukhee
अंतर्यामी     antaryaamee
अंतर्राज्यीय    antarraajyeey
अंतर्राष्ट्रवादी        antarraashtravaadee
अंतर्राष्ट्रीकरण        antarraashtreekaran
अंतर्राष्ट्रीय      antarraashtreey
अंतर्राष्ट्रीयकरण     antarraashtreeyakaran
अंतर्राष्ट्रीयता        antarraashtreeyata
अंतर्राष्ट्रीयतावाद       antarraashtreeytavaad
अंतर्राष्ट्रीयतावादी    antarraashtreeyataavaadee
अंतर्रोधी     antarrodhee
अंतर्वर्ती  antarvartee
अंतर्वस्तु  antarvastu
अंतर्वस्त्र       antarvastr
अंतर्वाह        antarvaah
अंतर्वाही     antarvaahee
अंतर्विभागीय    antarvibhaageey
अंतर्विराम  antarviraam
अंतर्विरोध  antarvirodh
अंतर्विवाह  antarvivaah
अंतर्विवाही       antarvivaahee
अंतर्विषयक  antarvishayak
अंतर्वेश        antarvesh
अंतर्वेशन     antarveshan
अंतर्संबंधों    antarsabandhon
अंतश्छद   antashchhad
अंतहीन      antaheen
अंतहीनता        antaheenata
अंताल्या        antaalya
अंतिम antim
अंतिमबिंदु  antimabindu
अंतिमांश        antimaansh
अंतेवासी        antevaasee
अंतोनियो        antoniyo
अंत्य anty
अंत्यलक   antyalak
अंत्याधार     antyaadhaar
अंत्यानुप्रास antyaanupraas
अंत्यानुप्रासवाला     antyaanupraasavaala
अंत्येष्टि  antyeshti
अंत्र antra
अंत्रवृद्धि       antravrddhi
अंतड़ियां        antadiyan
अंतड़ियों        antadiyon
अंतड़ी antadi
अंदर    andar
अंदरुनी   andaruni
अंदरूनी   andaruni
अंदाज andaj
अंदाजा      andaja
अंदाज़ andaz
अंदाज़ा      andaza
अंदेशा      andesha
अंधक    andhak
अंधकार      andhakar
अंधकारपूर्ण       andhakarpurna
अंधकारपूर्णता andhakarpunata
अंधकारभीति  andhakarbheeti
अंधकारमय        andhakarmaya
अंधक्षेत्र  andhakshetra
अंधड    andhad
अंधता andhata
अंधभक्त   andhabhakta
अंधभक्ति        andhabhakti
अंधविश्वास  andhavishwas
अंधविश्वासी       andhavishwasi
अंधविश्वासों    andhavishwason
अंधश्रद्धा  andhashradha
अंधा    andha
अंधाधुंध        andhadhundha
अंधाधुध   andhadhudha
अंधाधुन्ध     andhadhundha
अंधानुकरण     andhanukaran
अंधापन      andhapan
अंधियारा        andhiyara
अंधी    andhi
अंधे    andhe
अंधेर andher
अंधेरा      andhera
अंधेरापन        andherapan
अंधेरी      andheri
अंधेरे      andheri
अंधों andhon
अंधड़    andhada
अंपायर      anpayar
अंपायरिंग     anpayaring
अंबर    anbar
अंबरीश      anbarish
अंबा    anba
अंबानी      anbani
अंबार anbar
अंबाला      anbala
अंबिका      anbika
अंबिकापुर     anbikapur
अंबुज anbuj
अंबुपति   anbupati
अंबेडकर   anbedakar
अंश       ansh
अंशअ    ansha
अंशकालिक        anshakalik
अंशकालीन        anshakaliin
अंशछादन   anshachhadan
अंशजलीय   anshjaliya
अंशत    anshat
अंशतः anshatah
अंशदाता   anshadata
अंशदान      anshadan
अंशदायी   anshadayi
अंशधारियों  anshadhariyon
अंशधारी   anshadhari
अंशबोधक   anshabodhak
अंशभागी   anshabhagee
अंशशोधन   anshashodhan
अंशस्वामी     anshaswami
अंशांकन   anshankan
अंशांकित        anshankit
अंशातिप्रिय       anshatipriya
अंशिका      anshika
अंशु    anshu
अंशुक anshuk
अंशुमन      anshumn
अंशुमान   anshuman
अंशुमाली        anshumali
अंशों anshon
अंशोच्छेदन  anshochhedan
अंसकूट      ansakut
अंसपेशी   ansapeshi
अंसारी      ansari
अंसीय ansiya
अः  a
अइसे    ayise
अई  ayi
अउर       aura
अऋतुक्षरित  arituksharit
अऔरत    aaurat
अकं       ank
अकथ       akath
अकथ्य akathya
अकबकाना   akabakana
अकबर    akabar
अकबरपुर   akabarpur
अकबरी akabari
अकरकरा      akarkara
अकरण    akaran
अकरणीय      akaraniya
अकरम    akaram
अकराबाद   akarabad
अकर्म akarma
अकर्मक      akarmak
अकर्मण्य        akarmanya
अकर्मण्यता  akarmanyata
अकर्मी      akarmik
अकल       akal
अकलंकता   akalankata
अकलंकित   akalankit
अकलंकी      akalanki
अकलबीर      akalabir
अकलमंदी   akalamandi
अकलात्मक        akalatmak
अकल्प akalpa
अकल्पनाशील  akalpanashil
अकल्पनीय        akalpaniya
अकसर    akasar
अकसीर akasir
अकस्मात   akasmata
अकस्माती        akasmati
अकस्मात्        akasmat
अकहा    akaha
अकाउंट      akaunt
अकाउंटेंट     akauntent
अकाज    akaj
अकाट्य      akatya
अकाट्यता        akatyata
अकाट्यतापूर्वक      akatyatapurvak
अकादमिक   akadmik
अकादमियाँ     akadmiyan
अकादमियों     akadmiyon
अकादमी      akadmi
अकादेमी   akademi
अकाधिक      akadhik
अकाबा akaba
अकाम    akam
अकारण akaran
अकार्बनिक     akarbanik
अकाल    akaal
अकालप्रौढ़     akaalprodh
अकालियों        akaliyon
अकाली akaali
अकालों      akaalon
अकिंचन      akinchan
अकिंचनता        akinchnata
अकिण्वित        akinvit
अकिता akita
अकिलीज़      akiliz
अकी       aki
अकीक    akik
अकीनी akini
अकीयाई      akiyayi
अकुल    akul
अकुला akula
अकुलाना   akulana
अकुलाहट   akulahat
अकुशल akushal
अकुशलता   akushalta
अकुशलतापूर्वक akulshaltapurvak
अकूत    akut
अकृत    akrit
अकृषित      akrisit
अकेडमी      akedami
अकेला akela
अकेलापन   akelapan
अकेली akeli
अकेले akele
अकेलेपन   akelepan
अकेशिया   akeshiya
अकैडमी      akeidami
अकॉर्डियन     akourdiyan
अकोला akola
अक्कादी   akkadi
अक्खड़ akkhada
अक्खड़पन   akkhadpan
अक्टुबर   aktubar
अक्टूबर   aktubar
अक्टूबरफ़ेस्ट    aktubarfenst
अक्तुबर   aktubar
अक्तूबर   aktobar
अक्रमतः   akramatah
अक्राम्यता  akraamyata
अक्रिय      akriy
अक्रियता        akriyata
अक्रियात्मक       akriyatmak
अक्रियावाद  akriyabad
अक्रियाशील  akriyashil
अक्रूर      akrur
अक्ल    akla
अक्लमंद   aklamand
अक्लमंदी        aklamandi
अक्लोम      aklom
अक्वेरियम     akveriyam
अक्ष    aksh
अक्षत aksht
अक्षतंतु        akshtntu
अक्षम aksham
अक्षमता   akshmata
अक्षमताओं     akshmatawon
अक्षमतापूर्वक akshmatapurvak
अक्षमित   akshmit
अक्षम्य   akshmya
अक्षय akshya
अक्षर akshr
अक्षरग्राम  akshrgram
अक्षरधाम        akshrdham
अक्षरयोजक     akshryojak
अक्षरश      akshrash
अक्षरशः   akshrashh
अक्षरशैली     akshrashaili
अक्षरात्मक  akshratmak
अक्षरार्थ     akshrartha
अक्षरेखा        akshrekha
अक्षरों   akshron
अक्षांक्ष     akshaanksh
अक्षांश   akshaansh
अक्षांशीय     akshaanshiya
अक्षांशों     akshaanshon
अक्षि akshi
अक्षिति   akshiti
अक्षिदंत        akshidant
अक्षीय      akshiya
अक्षुण      akshun
अक्षुण्ण        akshunn
अक्षों      akshon
अक्षोभ्य        akshobhya
अक्षौहिणी     akshouhini
अक्स    aksa
अक्सर aksar
अक्साई      aksayi
अक्सीर      aksir
अकड़       akad
अकड़न    akadan
अकड़ना akadana
अकड़नेवाला     akadnovala
अकड़बाज़      akadbaz
अकड़ू    akadu
अकड़ैत akadait
अखंड    akhand
अखंडता      akandata
अखंडनीय   akhandaniya
अखंडल akhandal
अखंडित      akhandit
अखण्ड akhanda
अखण्डता   akhandata
अखण्डित्व     akhanditv
अखती    akhati
अखबार akhabar
अखबारी      akhabari
अखबारों   akhabaron
अखमीरी      akhamiri
अखय       akhay
अखयतीज      akhayteej
अखर       akhar
अखरना akharna
अखरा    akhara
अखरोट akharot
अखा       akha
अखाडा akhada
अखाद्य      akhadya
अखाड़ा akhada
अखाड़िया   akhadiya
अखाड़े akhade
अखाड़ों      akhadon
अखियाँ      akhiyan
अखियों      akhiyon
अखिर    akhir
अखिरी akhiri
अखिल    akhil
अखिलेन्द्र  akhilendra
अखिलेश      akhilesh
अखिलेश्वर     akhileshwr
अख्तर akhtar
अख्तियार        akhtiyar
अख्तियारपुर       akhtiyapur
अग  aga
अगंभीर      aganbhir
अगणित aganit
अगत्ती      agatti
अगन       agan
अगम       agam
अगम्य agamya
अगर       agar
अगरचे agarche
अगरतला      agartala
अगरबत्ती        agarbatti
अगरिया      agariya
अगरी    agariya
अगल       agal
अगला    agala
अगली    agali
अगले    agale
अगवा    agawa
अगवाई agawai
अगवान agawan
अगवानपुर        agawanpur
अगवानी      agawani
अगस्टे      agaste
अगस्त agasta
अगस्त्य   agastya
अगस्त्यमुनि       agastyamuni
अगहन    agahan
अगहनी agahani
अगा       agaa
अगाध    agaadh
अगार    agaar
अगासी agaasi
अगियाना   agiyana
अगुआ    aguaa
अगुआई aguaai
अगुण    agun
अगुवा aguwa
अगुवाई      aguwai
अगेंस्ट   agenst
अगेन    agen
अगोचर agochar
अगोरा agora
अग्नायी   agnayi
अग्नाशय   agnashya
अग्नाशयकोप  agnashyakopa
अग्नाशयशोथ  agnashyashoth
अग्नि agni
अग्निकांड     agnikand
अग्निकाण्ड  agnikannd
अग्निकुण्ड  agnikunda
अग्निदाह        agnidaha
अग्निदेव        agnidev
अग्निदेवता  agnidevata
अग्निपथ   agnipath
अग्निपरीक्षा    agniparikshya
अग्निपुराण  agnipuran
अग्निपूजा     agnipuja
अग्निबाण        agnibaan
अग्निमित्र  agnimitra
अग्निरोधक     agnirodhak
अग्निवर्ण     agnivorna
अग्निवेश        agniwesh
अग्निशमन        agnishman
अग्निसह   agnisaha
अग्निसाक्षी       agnisakshi
अग्निस्थान  agnisthan
अग्निहोत्र  agnihotra
अग्निहोत्री       agnihotri
अग्न्यस्त्र       agnyastra
अग्न्याधान  agnyadhan
अग्न्याशय     agnyashya
अग्र    agra
अग्रगण्य        agraganya
अग्रगामी        agragaami
अग्रग्रामी  agragraami
अग्रचिंता     agrachinta
अग्रज agraj
अग्रजा      agraja
अग्रणी      agrani
अग्रदल      agradal
अग्रदाय   agradaya
अग्रदूत   agradut
अग्रदूती        agraduti
अग्रदूतीय     agradutiya
अग्रदूतों     agraduton
अग्रपाद   agrapad
अग्रपीयूषिकाग्रंथि  agrapiyushikagranthi
अग्रभाग   agrabhag
अग्रभूमि        agrabhumi
अग्रवानी        agrawani
अग्रवाल   agrawal
अग्रवाही        agrawahi
अग्रसर      agrasar
अग्रसरना        agrasaranaa
अग्रसारित     agrasarit
अग्रसेन   agrasen
अग्रहरि   agrasri
अग्रहार   agrahar
अग्रांग   agraang
अग्रानुक्रम       agraanukram
अग्रि agri
अग्रिम      agrim
अग्रिमराशि  agrimrashi
अग्रिमों        agrimon
अग्रे agrae
अग्रेजी   agraeji
अग्रेषण   agreshn
अग्रेषित        agreshit
अघन       aghan
अघरिया      aghariya
अघात    aghat
अघाना aghaana
अघावना      aghaawana
अघिक    aghik
अघिकारी   aghikari
अघुलनशील        aghulanshil
अघोर    aghor
अघोरी aghori
अघोषित      aghoshit
अचंभा achanbha
अचंभित      achanbhit
अचंभे achanbhe
अचकन    achakan
अचक्रीय   achakriya
अचतुर achatur
अचम्भा      achambhaa
अचम्भित   achambhita
अचम्भे      achambhe
अचयनित      achayanit
अचर       achar
अचरज    acharj
अचरितार्थ     acharitartha
अचल       achal
अचलता achalta
अचला    achala
अचलेश्वर        achaleshwr
अचानक achanak
अचार    achar
अचिंतित   achintit
अचिकित्स्य  achikitsya
अचित्रणीय     achitraniya
अचित्रित        achitrit
अचिह्नित        achihinat
अचीवमेंट        achivoment
अचूक    achuk
अचेत    achet
अचेतन achetan
अचेतना      achetana
अचेतावस्था  achetavostha
अच्       ach
अच्छ    achchh
अच्छत achchht
अच्छा achchha
अच्छाइयों     achchhayyon
अच्छाई      achchhayi
अच्छापन   achchhapan
अच्छी achchhi
अच्छेपन   achchhepan
अच्युत      achyut
अछिद्र      achhidra
अछिद्रित        achhidrit
अछूत    achut
अछूता achuta
अछूती achuti
अछूते achute
अछूतों      achuton
अछेदित      achedit
अछेद्य      achedya
अज  aja
अजंता ajanta
अजगर    ajagar
अजटिल ajtil
अजनबियों        ajanbiyon
अजनबी ajanbi
अजनबीपन   ajanbipan
अजन्ता      ajanta
अजन्म ajanm
अजन्मा      ajanma
अजन्मे      ajanme
अजमल    ajamal
अजमाद ajamaad
अजमेर ajamer
अजमेरी      ajameri
अजमोद ajamod
अजय       ajaya
अजयगढ़ ajayagad
अजयपाल      ajayapal
अजर       ajar
अजरबैजान        ajarbaijan
अजवाइन      ajawayin
अजवायन      ajawayan
अजस्र ajashra
अजहरुद्दीन  ajahrudhhin
अजा       ajaa
अजाक्स      ajaksa
अजात    ajaat
अजातशत्रु     ajatshatru
अजाति ajati
अजान    ajan
अजानपन      ajaanpan
अजाने ajane
अजामिल      ajamil
अजायबघर   ajayabghar
अजित    ajit
अजिताभ      ajitabha
अजिन    ajin
अजी       aji
अजीज    ajij
अजीजपुर   ajijpur
अजीत    ajit
अजीतगढ़      ajitgad
अजीब    ajib
अजीबपन      ajibpan
अजीबो ajibo
अजीबोगरीब     ajibogarib
अजीबोग़रीब     ajibogariba
अजीम    ajim
अजीमाबाद        ajimabad
अजीरा ajira
अजीर्ण      ajirn
अजीर्णता        ajirnata
अजीव    ajeev
अजूबा ajuba
अजूबे ajube
अजूरा ajura
अजेय    ajeya
अजेयता      ajeyata
अजैव    ajaiv
अजैविक      ajaivik
अज्ञ    agya
अज्ञात      agyat
अज्ञातजनभीति    agyatjanbheeti
अज्ञातवास     agyatvas
अज्ञातव्यक्तिभीत        agyatavyaktibheet
अज्ञातहेतुक       agyatahetuk
अज्ञान      agyan
अज्ञानकृत     agyankrit
अज्ञानता        agyanata
अज्ञानतापूर्वक      agyanatapurvak
अज्ञानतावश  agyanatavas
अज्ञानपन        agyanpan
अज्ञानि   agyani
अज्ञानी   agyanee
अज्ञेय      agyeya
अज्ञेयता        agyeyata
अज्ञेयवाद     agyeyavad
अज्ञेयवादी  agyeyavadi
अज्नानता        ajnaanata
अट  ata
अटंबर atanbar
अटकना atakana
अटकल    atakal
अटकलबाजी        atakalbaji
अटकलबाज़   atakalbaz
अटकलबाज़ी        atakalbazi
अटकलें      atakalen
अटकलों      atakalon
अटका    ataka
अटकाना      atakana
अटके    atake
अटन       atan
अटना    atana
अटपटा atapata
अटपटी atapati
अटरिया      atariya
अटर्नी      atarni
अटल       atal
अटलजी atalji
अटलबिहारी     atalbihari
अटलांटा   atalanta
अटलांटिक        atalantik
अटलांटिकमहासागर   atalantikamahaasagar
अटलांटिस        atalantis
अटवी    atavi
अटाटूट      atatut
अटापट्टू        atapttu
अटारी atari
अटार्नी   atarni
अटाला atala
अटूट    atut
अटेंडेंट        atendent
अटैक    ataik
अटैची ataichi
अटॉर्नी   atourni
अट्टहास   attahas
अट्टालिका     attalika
अट्टी attee
अट्ठकथा   atthakatha
अट्ठाईस   atthayis
अट्ठारह   attharha
अट्ठारहवीं  attharhavin
अठखेलियां     athakheliyan
अठन्नी      athanni
अठरीय athariya
अठवाँसा   athavansa
अठारह atharaha
अठारहवां        atharahawan
अठारहवीं        atharahavin
अठारहवें        atharhaven
अठास्सी   athassi
अठौड़ी athoudee
अडंगा adanga
अडक       adaka
अडाना adaana
अडिग    adig
अडियल adiyal
अडीग    adeeg
अडूसा adusa
अडैप्टर   adeiptar
अडोबी adobi
अडोल    adol
अड्डा adda
अड्डे adde
अड्डों      addon
अड्रेस      adres
अणिमा anima
अणु       anu
अणुओं anuaun
अणुभार      anubhar
अणुव्रत   anuvrata
अणुसूत्र        anusutra
अण्टकोनीय     antakoneeya
अण्टीगुआ        antiguaa
अण्ड    and
अण्डज andaj
अण्डपीत   andapita
अण्डमान   andaman
अण्डवक्र        andavokra
अण्डा anda
अण्डाकार        andakar
अण्डाशय   andashaya
अण्डे ande
अण्डों      andon
अण्डोत्सर्ग       andotsarga
अण्णा annna
अत  ata
अतंरराष्ट्रीय atanrarastriya
अतंर्राष्ट्रीय      atanrrastriya
अतः       atah
अतएव    atayav
अतत्पर      atatpar
अतनु    atanu
अतर       atar
अतरिक्त   atarikt
अतरौरा      ataraura
अतरौली      atarouli
अतर्कसंगत     atarkasangat
अतल       atal
अतलस    atals
अतलांतिक        atalantik
अता       ataa
अताईपुर   atayipur
अतातुर्क        ataturk
अतारांकित     atarakit
अतार्किक        atarkik
अति       ati
अतिआवश्यक     atiaavashyak
अतिकाल      atikal
अतिक्रम   atikram
अतिक्रमण        atikraman
अतिक्रमणकारी    atikramanakari
अतिक्रमी        atikrami
अतिक्रांत     atikrant
अतिक्रामक     atikramak
अतिक्रामी     atikrami
अतिघृणा   atighrina
अतिचतुर   atichtur
अतिचार      atichar
अतिचारी   atichari
अतिचालक   atichalak
अतिचालकता     atichalakta
अतिथि atithi
अतिथिगृह        atithigriha
अतिथियों        atithiyon
अतिथिशाला     atithishala
अतिदुष्ट        atidushta
अतिदेय      atideya
अतिदेय      atideya
अतिधार्मिक  atidharmik
अतिधार्मिकता    atidharmikta
अतिनूतन   atinutan
अतिनैष्ठिक  atinaishthik
अतिनैष्ठिकता    atinaishtikta
अतिपरवलीय     atiparavliya
अतिपराध्वनिक    atiparadhvonik
अतिपरासारी  atiparaasaari
अतिप्रजन        atiprajan
अतिप्रतापी  atipratapi
अतिप्रवाह     atipravaha
अतिप्रवीण     atipraveen
अतिप्रशंसा  atiprashamsa
अतिप्रसन्न  atiprasanna
अतिप्राकलन  atiprakalan
अतिप्राकृत  atiprakrit
अतिप्राकृतिक    atiprakritik
अतिप्राकृतिकता      atiprakritikta
अतिप्रिय        atipriya
अतिबल atibal
अतिबुकिंग     atibuking
अतिभार      atibhar
अतिमानव   atimanav
अतिमानवीय     atimanaviya
अतियथार्थवाद    atiyatharthavad
अतियथार्थवादी atiyatharthavadi
अतिरंजन   atiranjan
अतिरंजना        atiranjana
अतिरंजनापूर्ण atiranjanapur
अतिरंजित        atiranjit
अतिरंज्नापूर्ण      atiranjnapurn
अतिरिक्त        atirikta
अतिरिक्तता  atiriktata
अतिरूढ़िवादी       atirudhivadi
अतिरेक      atirek
अतिरेकना        atirekana
अतिलंघन   atilangan
अतिलोभी   atilobhi
अतिलोलुप        atilolup
अतिवातायनता       ativatayanata
अतिवाद      ativad
अतिवादी   ativadi
अतिविशाल        ativishal
अतिविश्वास  ativishwas
अतिविश्वासी       ativishwasi
अतिवृद्धि     ativridhi
अतिवृष्टि     ativrishti
अतिव्यय   ativyya
अतिव्ययी        ativyyi
अतिव्याकुलता    ativyakulta
अतिव्याप्त  ativyapt
अतिव्याप्ति       ativyapti
अतिशय atishaya
अतिशयोक्ति  atishyokti
अतिशयोक्तिपूर्ण   atishyoktipurna
अतिशयोक्त्तिपूर्ण     atishayokttipurna
अतिशीघ्र        atishighra
अतिशेष      atishesh
अतिशोषण   atishoshan
अतिश्योक्ति       atishyokti
अतिसंवाहक     atisamvahak
अतिसंवाहकता       atisamvahakta
अतिसंवेदनशीलता      atisamvedanshilata
अतिसंवेदी     atisamvedi
अतिसार      atisar
अतिसारीय        atisariya
अतीत    atit
अतीन्द्रिय  atindriya
अतीव    ativa
अतीस    atis
अतुल    atul
अतुलनीय   atulaniya
अतुल्य      atulya
अतृप्त      atripta
अतृप्तता        atriptata
अतृप्ति   atripti
अतृप्य      atripya
अतेव    ateva
अतोषणीय   atoshniya
अतोष्य      atoshya
अत्तारी   attari
अत्यंत      atyant
अत्यंतता        atyantata
अत्यधिक   atyadhik
अत्यधिकता     atyadhikta
अत्यन्त   atyanta
अत्यल्प   atyalpa
अत्याचर   atyachar
अत्याचार        atyachaar
अत्याचारपूर्ण atyacharpurna
अत्याचारी     atyachari
अत्याचारों  atyacharo
अत्याधिक        atyadhik
अत्याधुनिक  atyadhunik
अत्यावश्यक  atyavashyak
अत्यावश्यकता    atyavashyakta
अत्युत्तमता       atyuttamata
अत्युत्सुक  atyutsuk
अत्युष्ण        atyushna
अत्र    atra
अत्री atree
अत्रे atre
अथक       athak
अथमलगोला        athamalgol
